category_name,clickbait_in_title,views,likes,comment_count
Autos & Vehicles,False,567528.3965517242,13353.586206896553,2864.3419540229884
Autos & Vehicles,True,513238.4,17013.2,3879.4
Comedy,False,983800.4167110164,52059.61575306014,5216.360830228845
Comedy,True,754454.6,27109.2,2379.4666666666667
Education,False,539880.2540983607,21321.62807377049,3016.3381147540986
Education,True,323347.6666666667,10832.866666666667,1631.3333333333333
Entertainment,False,1014231.0125579309,28837.991628046046,4115.734564209897
Entertainment,True,1408671.5479452056,19873.712328767124,3462.178082191781
Film & Animation,False,1427209.0335929892,37752.358812074,4894.099318403116
Film & Animation,True,1262248.1666666667,43109.666666666664,5682.166666666667
Gaming,False,926649.3032355154,38571.36493604214,7226.597441685478
Gaming,True,667697.4,31013.866666666665,4049.266666666667
Howto & Style,False,779382.3609022556,25563.447117794487,4174.754385964912
Howto & Style,True,1331566.75,15335.583333333334,1190.1666666666667
Movies,False,2853415.0,42150.833333333336,2329.8333333333335
Music,False,3532541.7284679366,151244.28924067615,14063.491548162061
Music,True,3516793.0,190016.0,5154.75
News & Politics,False,388927.28685355245,7865.29627839536,2228.6191396810054
News & Politics,True,248996.66666666666,7545.619047619048,1798.1904761904761
People & Blogs,False,786482.5023347259,25692.370115507496,4088.7918407471125
People & Blogs,True,778628.4444444445,23508.61111111111,5025.194444444444
Pets & Animals,False,640602.2179836512,23965.34059945504,4962.373297002725
Pets & Animals,True,245579.5,17728.0,1173.5
Science & Technology,False,1237755.178727114,37134.205754141236,6258.700959023539
Science & Technology,True,673153.875,27708.0,3811.125
Shows,False,577012.1612903225,4752.120967741936,622.9274193548387
Sports,False,1070027.7431059508,21312.494920174166,2735.959724238026
Sports,True,1569539.6129032257,22973.645161290322,3904.4193548387098
Travel & Events,False,380614.10975609755,9552.935975609756,1549.8993902439024
Travel & Events,True,295398.8125,9649.234375,1587.28125
