category_name,avg_like_dislike_ratio,avg_views
Music,59.0199214978196,6201003.119592089
Film & Animation,38.2322588635358,3106250.2008528784
Nonprofits & Activism,27.103074007628372,2963884.0701754387
Gaming,34.474980100370246,2620830.630354957
Entertainment,38.15067618775796,2067883.1990164593
Sports,27.012664700516495,2025969.0308187671
People & Blogs,55.63221403464924,1531835.428660436
Comedy,45.746638735864046,1480308.420017356
Science & Technology,37.23571485874515,1452626.7455226989
Autos & Vehicles,25.07461840159792,1355965.4088541667
Howto & Style,49.71338860372474,983730.1167390256
Shows,40.525748455590275,903527.3333333334
Travel & Events,29.289016678273633,854619.6119402985
Pets & Animals,60.59357062217241,831143.4663043479
Education,49.08542789674315,712940.8152173914
News & Politics,11.152009267446584,592587.7378367512
