category_name,avg_days_to_trend
Nonprofits & Activism,4.545454545454546
Travel & Events,6.396325459317585
Pets & Animals,7.043230944254835
Howto & Style,7.350166623942579
Shows,9.892857142857142
Comedy,9.96078431372549
Entertainment,13.02121409921671
Music,14.693897800562262
People & Blogs,15.65825307206908
Science & Technology,18.135503739551254
News & Politics,19.691580369203063
Gaming,22.6221928665786
Sports,25.49869451697128
Education,39.3159922928709
Film & Animation,42.45187528242205
Autos & Vehicles,44.28688524590164
